ano;mes;grupo;uf;servico;taxa_resolvidas_5_dias
2019;2;Quantidade de Reclamações no Período;NEXTEL;SMP;11458.0
2019;2;Quantidade de Reclamações no Período;OI;SMP;46001.0
2019;2;Quantidade de Reclamações no Período;SERCOMTEL;SMP;10.0
2019;2;Quantidade de Reclamações no Período;TIM;SMP;153899.0
2019;2;Quantidade de Reclamações no Período;VIVO;SMP;69868.0
2019;2;Quantidade de Respondidas;ALGAR;SMP;196.0
2019;2;Quantidade de Respondidas;CLARO;SMP;24186.0
2019;2;Quantidade de Respondidas;NEXTEL;SMP;3627.0
2019;2;Quantidade de Respondidas;OI;SMP;14768.0
2019;2;Quantidade de Respondidas;SERCOMTEL;SMP;3.0
2019;2;Quantidade de Respondidas;TIM;SMP;46861.0
2019;2;Quantidade de Respondidas;VIVO;SMP;26042.0
2019;2;Quantidade de Sol. Respondidas em até 5 dias;ALGAR;SMP;161.0
2019;2;Quantidade de Sol. Respondidas em até 5 dias;CLARO;SMP;22423.0
2019;2;Quantidade de Sol. Respondidas em até 5 dias;NEXTEL;SMP;3068.0
2019;2;Quantidade de Sol. Respondidas em até 5 dias;OI;SMP;13134.0
2019;2;Quantidade de Sol. Respondidas em até 5 dias;SERCOMTEL;SMP;3.0
2019;2;Quantidade de Sol. Respondidas em até 5 dias;TIM;SMP;40655.0
2019;2;Quantidade de Sol. Respondidas em até 5 dias;VIVO;SMP;22409.0
2019;2;Quantidade de Sol. Respondidas no Período;ALGAR;SMP;543.0
2019;2;Quantidade de Sol. Respondidas no Período;CLARO;SMP;71253.0
2019;2;Quantidade de Sol. Respondidas no Período;NEXTEL;SMP;11454.0
2019;2;Quantidade de Sol. Respondidas no Período;OI;SMP;45859.0
2019;2;Quantidade de Sol. Respondidas no Período;SERCOMTEL;SMP;10.0
2019;2;Quantidade de Sol. Respondidas no Período;TIM;SMP;153553.0
2019;2;Quantidade de Sol. Respondidas no Período;VIVO;SMP;69807.0
2019;2;Taxa de Reabertas;ALGAR;SMP;12.24
2019;2;Taxa de Reabertas;CLARO;SMP;7.03
2019;2;Taxa de Reabertas;NEXTEL;SMP;7.5
2019;2;Taxa de Reabertas;OI;SMP;7.79
